Event ID,Player Name,Team Name,Statsbomb Xg,End Location X,End Location Y,End Location Z,Follows Dribble,First Time,Open Goal,Deflected,Technique ID,Technique Name,Body Part ID,Body Part Name,Type ID,Type Name,Outcome ID,Outcome Name,Match ID,Season Name,Competition Name
eb450d38-8be9-4d9f-b738-82f54135dc4a,Arturo Erasmo Vidal Pardo,Barcelona,0.03485745,112.8,47.0,,False,True,False,False,94,Overhead Kick,40,Right Foot,87,Open Play,101,Wayward,15973,2018/2019,La Liga
c028c9f1-e304-4311-87d7-f89f47d4b5c0,Luis Alberto Suárez Díaz,Barcelona,0.14165547,120.0,32.0,2.3,False,False,False,False,90,Diving Header,37,Head,87,Open Play,98,Off T,15973,2018/2019,La Liga
05cdd436-051e-4837-8998-4cce440ad3c1,Luis Alberto Suárez Díaz,Barcelona,0.7835,120.0,43.1,0.3,False,False,False,False,93,Normal,40,Right Foot,88,Penalty,97,Goal,15973,2018/2019,La Liga
73b4f96a-2a64-4f7c-8fb1-0729c921e99f,Aritz Elustondo Irribaria,Real Sociedad,0.05368826,120.0,36.5,1.1,False,True,False,False,91,Half Volley,38,Left Foot,87,Open Play,97,Goal,15978,2018/2019,La Liga
176d86cf-3674-4f8c-9c06-9b199a10d0a9,Juan Miguel Jiménez López,Real Sociedad,0.048043124,109.8,46.0,,False,True,False,False,93,Normal,40,Right Foot,87,Open Play,101,Wayward,15978,2018/2019,La Liga
66da79ef-f087-4d40-805a-b07a280f05aa,Gerard Piqué Bernabéu,Barcelona,0.05900116,120.0,34.5,1.1,False,False,False,False,93,Normal,37,Head,87,Open Play,98,Off T,15978,2018/2019,La Liga
c9deaf75-3381-49fd-beb2-6e078d0971f5,Gerard Piqué Bernabéu,Barcelona,0.14770305,117.2,36.4,0.9,False,False,False,False,91,Half Volley,40,Right Foot,87,Open Play,100,Saved,15978,2018/2019,La Liga
7a635e80-a845-4933-93a1-f810d9c749d6,Ivan Rakitić,Barcelona,0.100465104,120.0,38.8,4.5,False,False,False,False,93,Normal,37,Head,87,Open Play,98,Off T,15978,2018/2019,La Liga
cfceefce-f6b8-49e6-ae55-d3b4fa6950d2,Mikel Oyarzabal Ugarte,Real Sociedad,0.059299536,118.8,36.6,2.1,False,True,False,False,91,Half Volley,38,Left Foot,87,Open Play,100,Saved,15978,2018/2019,La Liga
56984762-35f3-4831-ba6a-d66fbe73a59f,Ousmane Dembélé,Barcelona,0.045366954,116.9,56.7,,False,False,False,False,93,Normal,37,Head,87,Open Play,101,Wayward,15978,2018/2019,La Liga
995ce777-56f7-463d-8b59-dc9a99ed2dfe,Mikel Oyarzabal Ugarte,Real Sociedad,0.12567112,120.0,44.6,4.4,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,98,Off T,15978,2018/2019,La Liga
a2fc6aa3-a635-4ea3-aabb-02fb4111c716,Lionel Andrés Messi Cuccittini,Barcelona,0.029981874,117.1,40.9,0.2,False,False,False,False,93,Normal,38,Left Foot,87,Open Play,100,Saved,15978,2018/2019,La Liga
0079a9f7-8b14-491a-b6ba-893cb4b8cdb5,Theo Bernard François Hernández,Real Sociedad,0.066337906,118.5,35.3,1.0,False,False,False,False,93,Normal,38,Left Foot,87,Open Play,100,Saved,15978,2018/2019,La Liga
2f692512-54d7-4c34-8db4-e46dd5ae89bc,Juan Miguel Jiménez López,Real Sociedad,0.39678013,111.9,36.0,0.2,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,100,Saved,15978,2018/2019,La Liga
98fca00d-5d0c-4135-ad8e-14e63283dc65,Gerard Piqué Bernabéu,Barcelona,0.09323727,118.5,43.0,1.4,False,False,False,False,93,Normal,37,Head,87,Open Play,100,Saved,15978,2018/2019,La Liga
70d76fa4-493b-4dc7-a10b-2dd0198d5b42,Luis Alberto Suárez Díaz,Barcelona,0.57561266,120.0,42.9,1.3,False,True,False,False,95,Volley,40,Right Foot,87,Open Play,97,Goal,15978,2018/2019,La Liga
52dfadff-69e6-442d-982d-55f7c705a752,Philippe Coutinho Correia,Barcelona,0.04333229,118.1,41.0,1.3,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,100,Saved,15978,2018/2019,La Liga
8856fbdb-3ab0-42a8-887b-c46e77a26ce7,Ousmane Dembélé,Barcelona,0.07921858,120.0,40.4,1.6,False,True,False,True,91,Half Volley,38,Left Foot,87,Open Play,97,Goal,15978,2018/2019,La Liga
