Match ID,Player Name,Position ID,Start From,End To,From Period,To Period,Start Reason,End Reason
16023,Geoffrey Kondogbia,11,00:00,78:29,1,2,Starting XI,Substitution - Off (Tactical)
16023,Norberto Murara Neto,1,00:00,,1,,Starting XI,Final Whistle
16023,Daniel Parejo Muñoz,9,00:00,,1,,Starting XI,Final Whistle
16023,José Luis Gayà Peña,6,00:00,,1,,Starting XI,Final Whistle
16023,Gabriel Armando de Abreu,5,00:00,,1,,Starting XI,Final Whistle
16023,Ezequiel Marcelo Garay,3,00:00,,1,,Starting XI,Final Whistle
16023,Cristiano Piccini,2,00:00,,1,,Starting XI,Final Whistle
16023,Philippe Coutinho Correia,21,00:00,83:02,1,2,Starting XI,Substitution - Off (Tactical)
16023,Sergio Busquets i Burgos,10,00:00,,1,,Starting XI,Final Whistle
16023,Jordi Alba Ramos,6,00:00,,1,,Starting XI,Final Whistle
16023,Gerard Piqué Bernabéu,3,00:00,,1,,Starting XI,Final Whistle
16023,Luis Alberto Suárez Díaz,23,00:00,,1,,Starting XI,Final Whistle
16023,Ivan Rakitić,13,00:00,,1,,Starting XI,Final Whistle
16023,Ousmane Dembélé,21,83:02,,2,,Substitution - On (Tactical),Final Whistle
16023,Lionel Andrés Messi Cuccittini,17,00:00,,1,,Starting XI,Final Whistle
16023,Thomas Vermaelen,5,00:00,,1,,Starting XI,Final Whistle
16023,Nélson Cabral Semedo,2,00:00,,1,,Starting XI,Final Whistle
16023,Rafael Alcântara do Nascimento,15,87:17,,2,,Substitution - On (Tactical),Final Whistle
16023,Arthur Henrique Ramos de Oliveira Melo,15,00:00,87:17,1,2,Starting XI,Substitution - Off (Tactical)
16023,Marc-André ter Stegen,1,00:00,,1,,Starting XI,Final Whistle
16029,Philippe Coutinho Correia,21,00:00,,1,,Starting XI,Final Whistle
16029,Sergio Busquets i Burgos,10,00:00,31:10,1,1,Starting XI,Player Off
16029,Sergio Busquets i Burgos,10,31:16,,1,,Player On,Final Whistle
16029,Jordi Alba Ramos,6,00:00,,1,,Starting XI,Final Whistle
16029,Gerard Piqué Bernabéu,3,00:00,,1,,Starting XI,Final Whistle
16029,Luis Alberto Suárez Díaz,23,00:00,80:26,1,2,Starting XI,Substitution - Off (Tactical)
16029,Ivan Rakitić,13,00:00,,1,,Starting XI,Final Whistle
16029,Ousmane Dembélé,17,25:55,,1,,Substitution - On (Injury),Final Whistle
16029,Lionel Andrés Messi Cuccittini,17,00:00,18:15,1,1,Starting XI,Player Off
16029,Lionel Andrés Messi Cuccittini,17,25:54,25:55,1,1,Player On,Substitution - Off (Injury)
16029,Nélson Cabral Semedo,2,00:00,,1,,Starting XI,Final Whistle
16029,Sergi Roberto Carnicer,15,65:57,,2,,Substitution - On (Tactical),Final Whistle
16029,Munir El Haddadi Mohamed,23,80:26,,2,,Substitution - On (Tactical),Final Whistle
16029,Clément Lenglet,5,00:00,,1,,Starting XI,Final Whistle
16029,Arthur Henrique Ramos de Oliveira Melo,15,00:00,65:57,1,2,Starting XI,Substitution - Off (Tactical)
16029,Marc-André ter Stegen,1,00:00,,1,,Starting XI,Final Whistle
16029,Roque Mesa Quevedo,20,68:34,78:04,2,2,Substitution - On (Tactical),Tactical Shift
16029,Roque Mesa Quevedo,14,78:04,,2,,Tactical Shift,Final Whistle
16029,André Miguel Valente Silva,22,00:00,78:00,1,2,Starting XI,Substitution - Off (Tactical)
16029,Éver Maximiliano David Banega,10,00:00,54:07,1,2,Starting XI,Tactical Shift
16029,Éver Maximiliano David Banega,14,54:07,78:04,2,2,Tactical Shift,Tactical Shift
16029,Éver Maximiliano David Banega,20,78:04,,2,,Tactical Shift,Final Whistle
16029,Simon Thorup Kjær,4,00:00,53:58,1,2,Starting XI,Substitution - Off (Tactical)
16029,Gabriel Iván Mercado,4,53:58,54:07,2,2,Substitution - On (Tactical),Tactical Shift
16029,Gabriel Iván Mercado,3,54:07,,2,,Tactical Shift,Final Whistle
16029,Luis Fernando Muriel Fruto,22,78:00,,2,,Substitution - On (Tactical),Final Whistle
16029,Franco Damián Vázquez,15,00:00,54:07,1,2,Starting XI,Tactical Shift
16029,Franco Damián Vázquez,20,54:07,68:34,2,2,Tactical Shift,Substitution - Off (Tactical)
